 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26912Norvegienne1et2Avaletamontsecteur.1et25969784534524	05/09/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	32
26912NorvegienneP3Pool35973494533786	05/09/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	1
26912NorvegienneP9+10+11Pools9.10et11.exPoolsetrapides8-9-105972594534666	05/09/1973	Norvegienne	393	NA	NA	NA	NA	NA	NA	NA	NA	1
26913ChateauNARuisseauducoude5959944534131	06/09/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26918Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	11/09/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26918FermeNAAvalbassinincendie5886924533077	11/09/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
26919ChateauNARapidesavalhallfusee5928534533551	12/09/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26932StuderNADeversoirLac15732044542116	25/09/1973	Studer	NA	5	27	NA	NA	NA	NA	NA	NA	16
26933StuderNADeversoirLac15732044542116	26/09/1973	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
26938Chateau2Pool2rivedroite5942554533810	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26938Chateau2Poolprofondetcalmerivedroite(=pool2)5942554533810	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26938ChateauNA100menavalduconfluentaveclarivieredesMoraines5907854534637	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26938ChateauNAAmonthallfusee5923994533706	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26938ChateauNAEntreconfluentrivieredesMorainesetamontpoolhallfusee5915224534219	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	67
26938ChateauNARivieredesMoraines5907694535788	01/10/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26941NorvegienneNARapidesentrePools8et9.exPools7et85972574534387	04/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26941NorvegienneP11a9Pools11a9.rapidesetexPools10a85972594534666	04/10/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26941NorvegienneP11Pool11.exPool105971924534609	04/10/1973	Norvegienne	35	NA	NA	NA	NA	NA	NA	NA	NA	20
